Tipo de Mapa;Clave;Número de Elementos;Tiempo
Separate Chaining;UserID;1000;0.202931
Linear Probing;UserID;1000;0.305773
Quadratic Probing;UserID;1000;0.280484
Double Hashing;UserID;1000;0.261647
STL;UserID;1000;0.356496
Separate Chaining;UserID;2000;0.368921
Linear Probing;UserID;2000;0.628264
Quadratic Probing;UserID;2000;0.573685
Double Hashing;UserID;2000;0.522456
STL;UserID;2000;0.775735
Separate Chaining;UserID;3000;0.556384
Linear Probing;UserID;3000;1.0112
Quadratic Probing;UserID;3000;0.920215
Double Hashing;UserID;3000;0.931465
STL;UserID;3000;1.13264
Separate Chaining;UserID;4000;0.742955
Linear Probing;UserID;4000;1.39826
Quadratic Probing;UserID;4000;1.21766
Double Hashing;UserID;4000;1.15262
STL;UserID;4000;1.46275
Separate Chaining;UserID;5000;0.906822
Linear Probing;UserID;5000;1.68404
Quadratic Probing;UserID;5000;1.55669
Double Hashing;UserID;5000;1.54182
STL;UserID;5000;1.76439
Separate Chaining;UserID;6000;1.07451
Linear Probing;UserID;6000;1.98993
Quadratic Probing;UserID;6000;1.96266
Double Hashing;UserID;6000;1.83903
STL;UserID;6000;2.3057
Separate Chaining;UserID;7000;1.24234
Linear Probing;UserID;7000;2.39202
Quadratic Probing;UserID;7000;2.30312
Double Hashing;UserID;7000;2.30326
STL;UserID;7000;2.65277
Separate Chaining;UserID;8000;1.41831
Linear Probing;UserID;8000;2.76329
Quadratic Probing;UserID;8000;2.75047
Double Hashing;UserID;8000;2.60252
STL;UserID;8000;2.96225
Separate Chaining;UserID;9000;1.66898
Linear Probing;UserID;9000;3.06207
Quadratic Probing;UserID;9000;2.99896
Double Hashing;UserID;9000;3.10536
STL;UserID;9000;3.29485
Separate Chaining;UserID;10000;1.7854
Linear Probing;UserID;10000;3.44282
Quadratic Probing;UserID;10000;3.50086
Double Hashing;UserID;10000;3.49196
STL;UserID;10000;3.56258
Separate Chaining;UserID;11000;2.00609
Linear Probing;UserID;11000;3.84253
Quadratic Probing;UserID;11000;3.84423
Double Hashing;UserID;11000;3.89289
STL;UserID;11000;4.36702
Separate Chaining;UserID;12000;2.12761
Linear Probing;UserID;12000;4.22036
Quadratic Probing;UserID;12000;4.27137
Double Hashing;UserID;12000;4.27766
STL;UserID;12000;4.76219
Separate Chaining;UserID;13000;2.49625
Linear Probing;UserID;13000;4.57047
Quadratic Probing;UserID;13000;4.5675
Double Hashing;UserID;13000;4.63318
STL;UserID;13000;5.14988
Separate Chaining;UserID;14000;2.50805
Linear Probing;UserID;14000;5.08423
Quadratic Probing;UserID;14000;5.05597
Double Hashing;UserID;14000;5.18206
STL;UserID;14000;5.36061
Separate Chaining;UserID;15000;2.71108
Linear Probing;UserID;15000;5.48174
Quadratic Probing;UserID;15000;5.38256
Double Hashing;UserID;15000;5.73116
STL;UserID;15000;5.66991
Separate Chaining;UserID;16000;2.93461
Linear Probing;UserID;16000;5.97452
Quadratic Probing;UserID;16000;5.9497
Double Hashing;UserID;16000;6.07108
STL;UserID;16000;6.10771
Separate Chaining;UserID;17000;3.10119
Linear Probing;UserID;17000;6.45359
Quadratic Probing;UserID;17000;6.3764
Double Hashing;UserID;17000;6.52147
STL;UserID;17000;6.3776
Separate Chaining;UserID;18000;3.35222
Linear Probing;UserID;18000;7.04201
Quadratic Probing;UserID;18000;6.99321
Double Hashing;UserID;18000;6.96605
STL;UserID;18000;6.70873
Separate Chaining;UserID;19000;3.44987
Linear Probing;UserID;19000;7.57752
Quadratic Probing;UserID;19000;7.51527
Double Hashing;UserID;19000;7.49634
STL;UserID;19000;6.90073
Separate Chaining;UserID;20000;3.63197
Linear Probing;UserID;20000;8.45873
Quadratic Probing;UserID;20000;8.47812
Double Hashing;UserID;20000;8.50978
STL;UserID;20000;7.39112
Separate Chaining;UserID;21070;3.80375
Linear Probing;UserID;21070;9.63257
Quadratic Probing;UserID;21070;9.40942
Double Hashing;UserID;21070;9.31715
STL;UserID;21070;7.66457
Separate Chaining;Username;1000;0.335667
Linear Probing;Username;1000;0.479524
Quadratic Probing;Username;1000;0.435029
Double Hashing;Username;1000;0.526798
STL;Username;1000;0.32845
Separate Chaining;Username;2000;0.654627
Linear Probing;Username;2000;0.962213
Quadratic Probing;Username;2000;0.899664
Double Hashing;Username;2000;1.0602
STL;Username;2000;0.755134
Separate Chaining;Username;3000;0.976413
Linear Probing;Username;3000;1.49832
Quadratic Probing;Username;3000;1.44844
Double Hashing;Username;3000;1.67338
STL;Username;3000;1.08681
Separate Chaining;Username;4000;1.3311
Linear Probing;Username;4000;1.96686
Quadratic Probing;Username;4000;1.94476
Double Hashing;Username;4000;2.3268
STL;Username;4000;1.35813
Separate Chaining;Username;5000;1.64671
Linear Probing;Username;5000;2.4934
Quadratic Probing;Username;5000;2.64869
Double Hashing;Username;5000;2.95187
STL;Username;5000;1.66956
Separate Chaining;Username;6000;1.96245
Linear Probing;Username;6000;2.93234
Quadratic Probing;Username;6000;3.04673
Double Hashing;Username;6000;3.60489
STL;Username;6000;2.16113
Separate Chaining;Username;7000;2.35074
Linear Probing;Username;7000;3.66427
Quadratic Probing;Username;7000;3.65406
Double Hashing;Username;7000;4.32488
STL;Username;7000;2.74782
Separate Chaining;Username;8000;3.21822
Linear Probing;Username;8000;4.15775
Quadratic Probing;Username;8000;4.25068
Double Hashing;Username;8000;5.2449
STL;Username;8000;2.76627
Separate Chaining;Username;9000;2.90167
Linear Probing;Username;9000;4.68811
Quadratic Probing;Username;9000;4.70384
Double Hashing;Username;9000;5.77073
STL;Username;9000;3.06196
Separate Chaining;Username;10000;3.22403
