Tipo de Mapa;Clave;Presencia;Factor de Carga;Tiempo
Hashing Encadenado;UserID;Almacenados;0.0474181;0.086308
Hashing Encadenado;UserID;No almacenados;0.0474181;0.114403
Linear Probing;UserID;Almacenados;0.0474181;0.263996
Linear Probing;UserID;No almacenados;0.0474181;0.277593
Cuadratic Probing;UserID;Almacenados;0.0474181;0.189214
Cuadratic Probing;UserID;No almacenados;0.0474181;0.257246
Double Hashing;UserID;Almacenados;0.0474181;0.143398
Double Hashing;UserID;No almacenados;0.0474181;0.209494
STL;UserID;Almacenados;0.0474181;0.174752
STL;UserID;No almacenados;0.0474181;1.9431
Hashing Encadenado;UserID;Almacenados;0.0948362;0.089223
Hashing Encadenado;UserID;No almacenados;0.0948362;0.109808
Linear Probing;UserID;Almacenados;0.0948362;0.199677
Linear Probing;UserID;No almacenados;0.0948362;0.281271
Cuadratic Probing;UserID;Almacenados;0.0948362;0.193894
Cuadratic Probing;UserID;No almacenados;0.0948362;0.269244
Double Hashing;UserID;Almacenados;0.0948362;0.14916
Double Hashing;UserID;No almacenados;0.0948362;0.219323
STL;UserID;Almacenados;0.0948362;0.183816
STL;UserID;No almacenados;0.0948362;1.96145
Hashing Encadenado;UserID;Almacenados;0.142254;0.090741
Hashing Encadenado;UserID;No almacenados;0.142254;0.108161
Linear Probing;UserID;Almacenados;0.142254;0.205504
Linear Probing;UserID;No almacenados;0.142254;0.296751
Cuadratic Probing;UserID;Almacenados;0.142254;0.198057
Cuadratic Probing;UserID;No almacenados;0.142254;0.282383
Double Hashing;UserID;Almacenados;0.142254;0.153227
Double Hashing;UserID;No almacenados;0.142254;0.234638
STL;UserID;Almacenados;0.142254;0.175303
STL;UserID;No almacenados;0.142254;1.91405
Hashing Encadenado;UserID;Almacenados;0.189672;0.091262
Hashing Encadenado;UserID;No almacenados;0.189672;0.109101
Linear Probing;UserID;Almacenados;0.189672;0.20684
Linear Probing;UserID;No almacenados;0.189672;0.299732
Cuadratic Probing;UserID;Almacenados;0.189672;0.252495
Cuadratic Probing;UserID;No almacenados;0.189672;0.296411
Double Hashing;UserID;Almacenados;0.189672;0.15544
Double Hashing;UserID;No almacenados;0.189672;0.249805
STL;UserID;Almacenados;0.189672;0.184473
STL;UserID;No almacenados;0.189672;2.01418
Hashing Encadenado;UserID;Almacenados;0.23709;0.093802
Hashing Encadenado;UserID;No almacenados;0.23709;0.118229
Linear Probing;UserID;Almacenados;0.23709;0.246328
Linear Probing;UserID;No almacenados;0.23709;0.29872
Cuadratic Probing;UserID;Almacenados;0.23709;0.236441
Cuadratic Probing;UserID;No almacenados;0.23709;0.317664
Double Hashing;UserID;Almacenados;0.23709;0.159413
Double Hashing;UserID;No almacenados;0.23709;0.259503
STL;UserID;Almacenados;0.23709;0.186551
STL;UserID;No almacenados;0.23709;1.90691
Hashing Encadenado;UserID;Almacenados;0.284509;0.09353
Hashing Encadenado;UserID;No almacenados;0.284509;0.11166
Linear Probing;UserID;Almacenados;0.284509;0.248073
Linear Probing;UserID;No almacenados;0.284509;0.310536
Cuadratic Probing;UserID;Almacenados;0.284509;0.217038
Cuadratic Probing;UserID;No almacenados;0.284509;0.317442
Double Hashing;UserID;Almacenados;0.284509;0.163893
Double Hashing;UserID;No almacenados;0.284509;0.271482
STL;UserID;Almacenados;0.284509;0.174018
STL;UserID;No almacenados;0.284509;1.90623
Hashing Encadenado;UserID;Almacenados;0.331927;0.094825
Hashing Encadenado;UserID;No almacenados;0.331927;0.114599
Linear Probing;UserID;Almacenados;0.331927;0.213694
Linear Probing;UserID;No almacenados;0.331927;0.318112
Cuadratic Probing;UserID;Almacenados;0.331927;0.216326
Cuadratic Probing;UserID;No almacenados;0.331927;0.32583
Double Hashing;UserID;Almacenados;0.331927;0.19747
Double Hashing;UserID;No almacenados;0.331927;0.265207
STL;UserID;Almacenados;0.331927;0.177552
STL;UserID;No almacenados;0.331927;1.91852
Hashing Encadenado;UserID;Almacenados;0.379345;0.105642
Hashing Encadenado;UserID;No almacenados;0.379345;0.114697
Linear Probing;UserID;Almacenados;0.379345;0.228772
Linear Probing;UserID;No almacenados;0.379345;0.32932
Cuadratic Probing;UserID;Almacenados;0.379345;0.224676
Cuadratic Probing;UserID;No almacenados;0.379345;0.333633
Double Hashing;UserID;Almacenados;0.379345;0.16828
Double Hashing;UserID;No almacenados;0.379345;0.272088
STL;UserID;Almacenados;0.379345;0.220213
STL;UserID;No almacenados;0.379345;1.94427
Hashing Encadenado;UserID;Almacenados;0.426763;0.093543
Hashing Encadenado;UserID;No almacenados;0.426763;0.11472
Linear Probing;UserID;Almacenados;0.426763;0.223498
Linear Probing;UserID;No almacenados;0.426763;0.425527
Cuadratic Probing;UserID;Almacenados;0.426763;0.221042
Cuadratic Probing;UserID;No almacenados;0.426763;0.34975
Double Hashing;UserID;Almacenados;0.426763;0.170229
Double Hashing;UserID;No almacenados;0.426763;0.27345
STL;UserID;Almacenados;0.426763;0.189906
STL;UserID;No almacenados;0.426763;1.92974
Hashing Encadenado;UserID;Almacenados;0.474181;0.096336
Hashing Encadenado;UserID;No almacenados;0.474181;0.116289
Linear Probing;UserID;Almacenados;0.474181;0.231819
Linear Probing;UserID;No almacenados;0.474181;0.357135
Cuadratic Probing;UserID;Almacenados;0.474181;0.241616
Cuadratic Probing;UserID;No almacenados;0.474181;0.370451
Double Hashing;UserID;Almacenados;0.474181;0.175495
Double Hashing;UserID;No almacenados;0.474181;0.28509
STL;UserID;Almacenados;0.474181;0.257693
STL;UserID;No almacenados;0.474181;2.00315
Hashing Encadenado;UserID;Almacenados;0.521599;0.098365
